,Title,Price,MRP,Discount,Reviews
38,"Durex Multi-pack Condoms for Men (Extra Time, Extra Dotted, Extra Ribbed, Extra Time) - 10 count (Pack of 4)",908.0,22.7,-3900.0,4.3
39,KamaSutra SkinFEEL Thinnest Condom for Men | Skin to Skin Sensation | Combo Pack of 10,189.0,18.9,-900.0,4.0
40,Manforce Epic Pleasure| Ultra Thin Condom | Long Lasting Pleasure for Both | Raspberry Flavour | 10 Pcs |,226.0,22.6,-900.0,4.0
41,Bold Care 404 Super Ultra Thin Chocolate Flavored Condoms + Bold Care 404 Super Ultra Thin Bubblegum Flavored Condoms + Bold Care 404 Super Ultra Thin Strawberry Flavored Condoms - Combo pack - 30 Pcs,249.0,8.3,-2899.9999999999995,4.1
42,Manforce Epic ThinX | 0.03mm Ultra Thin Condoms for High Sensitivity | 10 Pcs,339.0,33.9,-900.0000000000002,4.2
43,Durex Bubblegum Flavoured Condoms - 12 Count,139.0,139.0,0.0,4.1
44,"Kama Sutra Flavours Dotted Condoms - Pack of 10, 100 No's",666.0,6.66,-9900.0,3.9
45,Durex Mutual Climax Condoms for Men & Women - 10 Count (Pack of 3) | Extra Dotted and Ribbed Condoms,1099.0,36.63,-2900.2730002729995,4.2
46,Durex Extra thin Bubblegum Flavoured Condoms For Men- 10s,134.0,13.4,-900.0,4.2
47,"Durex Pleasure Packs (Extra Time 10s, Extra Ribbed 10s)- Pack of 2",483.0,24.15,-1900.0000000000005,4.2
48,Manforce Ultra Feel Bubblegum Flavoured Condoms for Men | 20 pcs | Ultra Thin Condom | Lubricated Latex Condoms For Her Enhanced Pleasure | Indiaâ€™s No. 1* Condom Brand for Safe Sex,267.0,133.5,-100.0,4.0
49,"Durex Extra Thin Flavoured Condoms, 12s, Pack of 3 (Bubblegum + Chocolate + Strawberry)",409.0,136.33,-200.00733514266847,4.0
50,Durex Air Condoms 10s And Durex Spray Combo,595.0,297.5,-100.0,3.0
51,"Durex Condoms, Extra Time- 3s",87.0,29.0,-200.0,4.1
52,Bold Care 404 All-In-One Multi-Flavour Condoms Pack - 2 x 5 Assorted condoms in each pack - 10 Count (Pack of 1),99.0,99.0,0.0,3.8
53,Skore Blues - 10 Pieces,72.0,7.2,-900.0,4.0
54,Adult Zone Janvi Enterprise Dragon 6-Inch Condom For Men,249.0,249.0,0.0,3.3
55,Durex Pleasure Packs (Condoms - 10 Count (Extra Dots) & 10 Count (Extra Ribbed),483.0,241.5,-100.0,4.0
56,"NOTTY BOY Condoms Special Honeymoon Pack For Couples - Extra Lubricated, 3-In-One Ribbed, Dotted, Contoured, Raised Dots, Thin Strawberry And Chocolate Flavoured Condom - Pack of 50",323.0,6.46,-4900.0,4.3
57,Skore Notout - 10 Pieces (Pack of 4),395.0,9.88,-3897.9757085020237,4.0
58,Durex Real Feel Condoms For Men | Latex Free 10 Count Pack Of 3,1347.0,44.9,-2900.0,4.1
59,Bold Care 404 Extra Dotted Condom For Men | 10 Condoms With Disposable Pouch | Electronically Tested | 576 Dots 70 Microns | Ribbed Condom | Extra Thin Condom With Real Fit,149.0,149.0,0.0,4.1
60,"KAMA SUTRA Luxury Series Condoms for Men , Orgasmax (4in1) Condoms , Ribbed, Dotted, Contoured, and Climax Delay, 12 Pieces",149.0,12.42,-1099.6779388083737,3.9
